date,n_full,sum_sd,sum_var,ew_ret_full
2020-01-13,3666,77.60741150003946,1.9054423243596825,0.00978671799788862
2020-01-14,3668,77.44788106981733,1.8972586344029292,5.320922511698307e-05
2020-01-15,3667,77.42500717984629,1.894850685315909,-0.004789424399871036
2020-01-16,3667,77.42110111023123,1.893961424275479,-0.004042112693097777
2020-01-17,3672,77.82094394023318,1.9273893676261702,-0.003115082164013872
2020-01-20,3676,78.6802960690939,2.1069770690790013,0.009018095912720219
2020-01-21,3680,78.56528746271293,1.9449631126238525,-0.011581683289909111
2020-01-22,3685,78.66432126352333,2.015875402830959,0.0002997006386806095
2020-01-23,3687,80.23247336391829,2.016112989075598,-0.033969738633655044
2020-02-03,3689,92.85960368369228,2.5538400525958345,-0.08851197715271018
2020-02-04,3689,95.03317099679288,2.6637292001711614,-0.00646848280521247
2020-02-05,3695,96.80803780508496,2.782027086590727,0.02697422764876485
2020-02-06,3700,98.1953615984451,2.8417854180416993,0.025955992844212544
2020-02-07,3700,98.82354785390334,2.8685739249500215,0.011775355545027837
2020-02-10,3703,100.23744823696522,2.9705386892643637,0.01628768521959724
2020-02-11,3704,100.5762966429295,2.96521890679398,-0.005319042817568322
2020-02-12,3704,100.0050171497603,2.9348401491592977,0.01639244835279302
2020-02-13,3704,100.37917220293474,2.956865596590602,-0.00982388795889682
2020-02-14,3706,100.60944295425219,2.9720661831832893,0.0014335437933581962
2020-02-17,3709,102.27021630807197,3.066591462997708,0.03394819146195342
2020-02-18,3709,102.60390530943907,3.122627893037257,0.017015043374466327
2020-02-19,3711,102.98283234639713,3.1057048858163148,-0.005244040643688277
2020-02-20,3712,103.51872020638766,3.1540542505028726,0.018304725645334075
2020-02-21,3714,103.7496543539047,3.1516914289654623,0.010215852825231039
2020-02-24,3715,104.49905954420903,3.1959798616635724,0.012132598143902556
2020-02-25,3717,105.16284375279548,3.2363702532143903,-0.0022392064774367656
2020-02-26,3717,106.0702984592514,3.297064482785848,-0.014244829448532935
2020-02-27,3716,106.58902037861182,3.333285414825414,0.002690188046327379
2020-02-28,3718,110.71196715983471,3.5846448119628826,-0.052989218054212125
2020-03-02,3717,112.77389102279976,3.7030139600231466,0.041144041653224384
2020-03-03,3717,113.18595916934325,3.7285458441640666,0.012221587952416827
2020-03-04,3717,113.76951962635093,3.764328605546011,0.010148284612845688
2020-03-05,3721,114.65846694570293,3.815954776523495,0.018704865118403326
2020-03-06,3720,115.0621815138763,3.8389915521830424,-0.001609344216711339
2020-03-09,3720,117.17942375282082,3.984319416516113,-0.032503564075230376
2020-03-10,3722,118.30541317178948,4.077788859163148,0.021162773143535603
2020-03-11,3721,118.60952829525458,4.085267128997549,-0.008412584815308115
2020-03-12,3722,119.55108365419963,4.154194625558152,-0.01891728609220463
2020-03-13,3722,120.05773981078949,4.178014530975699,-0.011964721713898636
2020-03-16,3721,122.08988240288217,4.324495191367736,-0.03820197665510499
2020-03-17,3721,122.65768152935094,4.392035669444806,-0.003025124759620445
2020-03-18,3723,123.02451350059316,4.394869647739028,-0.015901752089954303
2020-03-19,3726,123.39536109638462,4.41531621815415,0.007210921485629701
2020-03-20,3729,124.10558996716573,4.464741142719553,0.014509450227771968
2020-03-23,3732,125.88323490981256,4.583298278004309,-0.03790516915530436
2020-03-24,3732,126.51428527578712,4.645568555731525,0.019316933742398238
2020-03-25,3732,126.51332834310315,4.61961187017416,0.023427060447919004
2020-03-26,3734,126.67959334435425,4.629202175713717,-0.009890578096579434
2020-03-27,3736,127.16117954342585,4.681705233175939,-0.0035640049047851075
2020-03-30,3736,127.89377073505062,4.717059451729775,-0.021872465946426518
2020-03-31,3738,128.3402979600102,4.762391347944785,0.00014034198073430224
2020-04-01,3741,128.35417725925194,4.742903993058964,-0.005701622441130587
2020-04-02,3741,128.8003706868416,4.776972581432878,0.021061283715358647
2020-04-03,3741,128.68573517250047,4.767373491289952,-0.004759170730536567
2020-04-07,3740,129.62237595248732,4.8442629150564,0.03089398008043382
2020-04-08,3739,129.5375974334361,4.827718421966548,0.004715747116711666
2020-04-09,3739,129.48804206942066,4.82470342609574,0.008689460447782878
2020-04-10,3740,129.90099986844473,4.861167817220241,-0.02300342794188505
2020-04-13,3739,129.91130825910832,4.864561679159519,-0.00832226263493341
2020-04-14,3741,130.2738476061222,4.889512305388308,0.017912532976454416
2020-04-15,3740,130.41633105703653,4.911095133721343,-0.0061125169592695485
2020-04-16,3746,130.62419117918256,4.907239782583718,0.004182342640636602
2020-04-17,3748,130.76318850276536,4.913858182354294,-0.00022623940947938076
2020-04-20,3745,131.2158737220951,5.100041791185464,0.011155966319430643
2020-04-21,3745,130.94501742041692,4.945048202257288,-0.004890826802722952
2020-04-22,3748,131.12668404038564,4.983911246474146,0.009082085326877222
2020-04-23,3750,131.111847905032,5.015782689010631,-0.0037849906958233935
2020-04-24,3751,131.67446126512843,5.048013709505679,-0.017587127484546185
2020-04-27,3750,130.44652444231417,4.902485757187651,-0.006742809961990372
2020-04-28,3741,121.89750604653729,4.3662474027743094,-0.020940818424816914
2020-04-29,3731,120.62727429073861,4.815189099257921,-0.001849709402764365
2020-04-30,3717,119.16495353739111,4.205147925293677,0.0214096059040725
2020-05-06,3744,119.64315764387094,4.210232598317497,0.017139914407826414
2020-05-07,3749,119.16468999037973,4.169403606140082,-0.002336115523202773
2020-05-08,3752,119.07823357588163,4.303314027516359,0.010678173281674256
2020-05-11,3754,118.76477378326429,4.349868710610965,-0.00020023974955730927
2020-05-12,3755,118.278456698752,4.153965866554031,-0.0011270972817762558
2020-05-13,3758,117.87618708126261,4.066206694186256,0.005406558428483742
2020-05-14,3761,118.25441817264719,4.180936162824996,-0.008015258540591158
2020-05-15,3764,117.08701501822338,4.0743837244084515,0.002248860428265594
2020-05-18,3760,116.53148852921083,3.97567503000295,-0.004052757959706084
2020-05-19,3758,116.22489361693529,3.955768904268487,0.010670980022970256
2020-05-20,3762,116.56213687250522,4.084229486356755,-0.007919850348936327
2020-05-21,3763,116.21178927682907,3.9539521752972426,-0.00926734649819617
2020-05-22,3765,116.00310811222535,3.93236776039013,-0.01583105819916607
2020-05-25,3765,115.95228345657686,4.0269353396089365,-0.001107240965482269
2020-05-26,3765,115.35241650429283,3.9556596349909348,0.020820023534040333
2020-05-27,3759,114.66409848865257,3.842562378230876,-0.002104384947403707
2020-05-28,3761,111.2618198312297,3.63941186565715,-0.0031055971471677115
2020-05-29,3760,109.2083459764794,3.5246808298383927,0.007930450334583129
2020-06-01,3758,109.7300420865229,3.5574135573121453,0.027611682028740574
2020-06-02,3761,109.62870201764984,3.5480279719620063,0.0055179918887050565
2020-06-03,3762,109.22884553697851,3.5267449739972903,0.0011077245112185356
2020-06-04,3762,109.03870642713441,3.5133730712860105,0.0040684991999566005
2020-06-05,3762,107.2292197474492,3.4101026643688845,-5.671726033036542e-05
2020-06-08,3763,106.36342432055353,3.3531942316368784,-0.0017238615060164505
2020-06-09,3769,106.30583074182853,3.346489401807235,0.004772312084111701
2020-06-10,3767,105.49306656115117,3.2991546492827597,-0.0023362707639163743
2020-06-11,3766,104.93305888510335,3.265605507461392,-0.00355799651610923
2020-06-12,3767,102.55498084072678,3.132098783718361,0.0004712944446037972
2020-06-15,3770,102.41092042501413,3.1178996872277427,-0.0017233857925169095
2020-06-16,3774,102.32717348007554,3.114721545592909,0.016692703179422966
2020-06-17,3773,102.13421163934726,3.1222309306285436,0.004563775031199859
2020-06-18,3775,101.88851408724253,3.090626095798517,-0.0009019622463787928
2020-06-19,3775,99.28589548433247,2.946451805152005,0.004570923883926717
2020-06-22,3773,98.66282579812257,2.918015378176502,0.001878855769288909
2020-06-23,3772,98.10430653490367,2.8982843083317036,-0.0010229755387633507
2020-06-24,3773,97.78258724475737,2.876836903193898,-0.002214405316747043
2020-06-29,3775,97.94002427084176,2.8791384531535815,-0.005690547687614636
2020-06-30,3768,96.71855135599314,2.81793407178782,0.015008374898893255
