date,R1,R2,R3,R4,n_U,n_300,n_1000
2025-07-11,,,,,,,
2025-07-14,,,,,,,
2025-07-15,,,,,,,
2025-07-16,,,,,,,
2025-07-17,,,,,,,
2025-07-18,,,,,,,
2025-07-21,,,,,,,
2025-07-22,,,,,,,
2025-07-23,,,,,,,
2025-07-24,,,,,,,
2025-07-25,,,,,,,
2025-07-28,,,,,,,
2025-07-29,,,,,,,
2025-07-30,,,,,,,
2025-07-31,,,,,,,
2025-08-01,,,,,,,
2025-08-04,,,,,,,
2025-08-05,,,,,,,
2025-08-06,,,,,,,
2025-08-07,,,,,,,
2025-08-08,,,,,,,
2025-08-11,,,,,,,
2025-08-12,,,,,,,
2025-08-13,,,,,,,
2025-08-14,,,,,,,
2025-08-15,,,,,,,
2025-08-18,,,,,,,
2025-08-19,,,,,,,
2025-08-20,,,,,,,
2025-08-21,,,,,,,
2025-08-22,,,,,,,
2025-08-25,,,,,,,
2025-08-26,,,,,,,
2025-08-27,,,,,,,
2025-08-28,,,,,,,
2025-08-29,,,,,,,
2025-09-01,,,,,,,
2025-09-02,,,,,,,
2025-09-03,,,,,,,
2025-09-04,,,,,,,
2025-09-05,,,,,,,
2025-09-08,,,,,,,
2025-09-09,,,,,,,
2025-09-10,,,,,,,
2025-09-11,,,,,,,
2025-09-12,,,,,,,
2025-09-15,,,,,,,
2025-09-16,,,,,,,
2025-09-17,,,,,,,
2025-09-18,,,,,,,
2025-09-19,,,,,,,
2025-09-22,,,,,,,
2025-09-23,,,,,,,
2025-09-24,,,,,,,
2025-09-25,,,,,,,
2025-09-26,,,,,,,
2025-09-29,,,,,,,
2025-09-30,,,,,,,
2025-10-09,,,,,,,
2025-10-10,,,,,,,
2025-10-13,,,,,,,
2025-10-14,,,,,,,
2025-10-15,,,,,,,
2025-10-16,,,,,,,
2025-10-17,,,,,,,
2025-10-20,,,,,,,
2025-10-21,,,,,,,
2025-10-22,,,,,,,
2025-10-23,,,,,,,
2025-10-24,,,,,,,
2025-10-27,,,,,,,
2025-10-28,,,,,,,
2025-10-29,,,,,,,
2025-10-30,,,,,,,
2025-10-31,,,,,,,
2025-11-03,,,,,,,
2025-11-04,,,,,,,
2025-11-05,,,,,,,
2025-11-06,,,,,,,
2025-11-07,,,,,,,
2025-11-10,,,,,,,
2025-11-11,,,,,,,
2025-11-12,,,,,,,
2025-11-13,,,,,,,
2025-11-14,,,,,,,
2025-11-17,-0.19692058346839547,-0.005830174377477829,,-0.03716964162169639,1234.0,292.0,792.0
2025-11-18,-0.1951417004048583,-0.005906825854340303,,-0.030208675223272113,1235.0,292.0,793.0
2025-11-19,-0.1941747572815534,-0.0061830794553328,,-0.03045961146958351,1236.0,292.0,794.0
2025-11-20,-0.1925566343042071,-0.006268060354255861,,-0.0351437148476588,1236.0,292.0,794.0
2025-11-21,-0.19579288025889968,-0.0065824039969698805,,-0.02337926943544158,1236.0,293.0,794.0
2025-11-24,-0.19967663702506064,-0.0070648907050184255,,-0.019863910532981283,1237.0,293.0,795.0
2025-11-25,-0.2021018593371059,-0.0072531152664305236,,-0.01734818726254103,1237.0,293.0,795.0
2025-11-26,-0.20113085621970922,-0.007440846623209592,,-0.012944414907301,1238.0,293.0,796.0
2025-11-27,-0.2033898305084746,-0.007563972115272279,,-0.020940300872298423,1239.0,293.0,797.0
2025-11-28,-0.20903954802259886,-0.007855632135779307,,-0.018521837844297062,1239.0,294.0,797.0
2025-12-01,-0.2106537530266344,-0.00812044916363564,,-0.018521837844297062,1239.0,294.0,797.0
2025-12-02,-0.20161290322580644,-0.007165105623520815,,-0.004296455424274981,1240.0,294.0,798.0
2025-12-03,-0.1948261924009701,-0.006491383413187684,,0.00458221024258762,1237.0,294.0,795.0
2025-12-04,-0.18947368421052632,-0.006070865307429654,,-0.007591939676248799,1235.0,294.0,793.0
2025-12-05,-0.17165991902834007,-0.005155654244853618,,-0.0286477768913366,1235.0,294.0,793.0
2025-12-08,-0.13344182262001628,-0.0033313558755904155,,-0.0365171449290376,1229.0,294.0,788.0
2025-12-09,-0.11635475996745322,-0.0025290788841304665,,-0.04281052522531856,1229.0,294.0,788.0
2025-12-10,-0.11065907241659886,-0.0020627810607373284,,-0.021133326427017485,1229.0,294.0,788.0
2025-12-11,-0.10993485342019543,-0.0019309014569832024,,-0.013289941135285116,1228.0,294.0,787.0
2025-12-12,-0.10993485342019543,-0.0016816954131095194,,-0.01964318128776288,1228.0,294.0,787.0
2025-12-15,-0.08727569331158239,-0.0009981069452852543,0.10964489015681309,0.014176663031624875,1226.0,294.0,786.0
2025-12-16,-0.09209453952730236,-0.0010240644113349215,0.10304716087755593,0.017438995928739973,1227.0,294.0,787.0
2025-12-17,-0.08482871125611746,-0.000836226086244331,0.10934604602543593,0.023991275899672856,1226.0,294.0,786.0
2025-12-18,-0.08564437194127243,-0.0007955533525698066,0.10691226236293468,0.022719011268629588,1226.0,294.0,786.0
2025-12-19,-0.0864600326264274,-0.0007453612499503441,0.10933284763247228,0.03377992418341382,1226.0,294.0,786.0
2025-12-22,-0.08231458842705787,-0.0005480202627780792,0.11736204859800277,0.026039640761005796,1227.0,294.0,787.0
2025-12-23,-0.07742461287693561,-0.0005002017550174606,0.12467724646017028,0.015424975581083772,1227.0,294.0,787.0
2025-12-24,-0.07830342577487764,-0.0004537597656779857,0.12282743044483158,0.00999636495819703,1226.0,294.0,786.0
2025-12-25,-0.07660961695191525,-0.00042662955055936696,0.12678021355655933,0.03116113027167665,1227.0,294.0,787.0
2025-12-26,-0.06682966585167074,-0.00035473853252981615,0.14220988217092811,0.021856010510938807,1227.0,294.0,787.0
2025-12-29,-0.06290849673202614,-0.000345275670938424,0.14774525629460825,0.010204081632653059,1224.0,294.0,784.0
2025-12-30,-0.06045751633986928,-0.00031562830480337935,0.14115538688593715,0.0008503401360544227,1224.0,294.0,784.0
2025-12-31,-0.05725806451612903,-0.0003169253093579266,0.13756812788484107,0.017125176681490675,1240.0,293.0,792.0
2026-01-05,-0.055645161290322584,-0.00037718699785122196,0.13382852292020375,0.014087116902816561,1240.0,293.0,792.0
2026-01-06,-0.05801772763900081,-0.00037845744024448297,0.11364219138933926,0.020835036948727993,1241.0,293.0,793.0
2026-01-07,-0.05152979066022544,-0.00030585274427014374,0.08191203195979083,0.01920387004032726,1242.0,293.0,793.0
2026-01-08,-0.05241935483870968,-0.0003042098753114799,0.06393540512874354,0.02016323646016479,1240.0,293.0,792.0
2026-01-09,-0.053988718775181306,-0.00033009849852119305,0.05667035364141756,0.007703928142578621,1241.0,293.0,793.0
2026-01-12,-0.05152979066022544,-0.0003842890005694781,0.05840506275996999,0.010225996238417204,1242.0,293.0,793.0
