underlying,lookback,z_window,smoothing,sharpe_full,sharpe_2014-2020,sharpe_2021-2023,sharpe_2024-2026,worst_tv
500｜中证500（现役分量）,10,50,0,0.7086453890898453,0.7940655153610208,0.2284417311514477,0.8635069615336014,0.2284417311514477
500｜中证500（现役分量）,10,50,5,0.9957205746921225,1.1195433836874182,0.6867035013232036,0.9035743688118463,0.6867035013232036
500｜中证500（现役分量）,10,250,0,0.8011540893779836,0.8142297216123456,0.716105026473934,0.8574459045796365,0.716105026473934
500｜中证500（现役分量）,10,250,5,0.7017630055244365,0.8928648879706953,0.05048971043337696,0.6958031741720516,0.05048971043337696
500｜中证500（现役分量）,20,40,0,1.0979860139058943,1.131633379098968,0.679728514412145,1.3391282651610943,0.679728514412145
500｜中证500（现役分量）,20,40,5,1.3464285393057427,1.427554511456783,0.6391408901035306,1.6861878628784615,0.6391408901035306
500｜中证500（现役分量）,20,60,0,1.1389669304619325,1.2681864876636766,0.5529347208565422,1.252936584567285,0.5529347208565422
500｜中证500（现役分量）,20,60,5,1.1568729031189784,1.3431708402634586,0.4596601266912431,1.202132203558257,0.4596601266912431
500｜中证500（现役分量）,20,100,0,1.4276327977096988,1.6634161388998117,0.869378888402332,1.28205784216716,0.869378888402332
500｜中证500（现役分量）,20,100,5,1.0520430604605988,1.0889925295920841,0.8572831357611536,1.117228883465531,0.8572831357611536
500｜中证500（现役分量）,20,250,0,1.2083198014425192,1.3344057508806295,0.9077412812656043,1.1433003140761877,0.9077412812656043
500｜中证500（现役分量）,20,250,5,0.9237578418589507,0.9942205862741427,0.5790485897843772,1.0042665312326828,0.5790485897843772
500｜中证500（现役分量）,40,80,0,1.0770175409431644,1.057632339389194,1.1027413604318896,1.162452234772899,1.057632339389194
500｜中证500（现役分量）,40,80,5,0.985072103148906,0.9979678155456732,0.9670114829713251,1.0541467494418395,0.9670114829713251
500｜中证500（现役分量）,40,120,0,0.9419420825986325,0.9420401035556863,0.7593457972467008,1.1415792243578617,0.7593457972467008
500｜中证500（现役分量）,40,120,5,0.603143223531639,0.6204741909670699,0.3312874061454477,0.7857432347637527,0.3312874061454477
500｜中证500（现役分量）,40,200,0,0.7704083951537587,0.6038769833612487,0.8064852554482744,1.2435639014076347,0.6038769833612487
500｜中证500（现役分量）,40,200,5,0.4511632845134327,0.28798440794910624,0.4485688763949775,0.9353057816712308,0.28798440794910624
500｜中证500（现役分量）,40,250,0,0.7839610033513837,0.678458913651953,0.3715681224174765,1.3663032800812425,0.3715681224174765
500｜中证500（现役分量）,40,250,5,0.5398798915587687,0.46846727227315593,0.47243814122074607,0.8153707155134566,0.46846727227315593
500｜中证500（现役分量）,60,120,0,0.6695540297645871,0.8717886761902256,0.12359547325698807,0.539707689873337,0.12359547325698807
