date,沪深300成长,沪深300价值,中证500成长,中证500价值,中证1000成长,中证1000价值,中证2000成长,中证2000价值
2014-10-10,2636.557,2477.049,5262.2096,5710.4229,2065.0296,1633.0696,1638.5365,1598.4849
2014-10-13,2617.595,2458.717,5262.9184,5729.8582,2059.1247,1632.3999,1636.437,1597.8888
2014-10-14,2603.514,2452.069,5245.0434,5704.5945,2053.6612,1628.4329,1632.6504,1596.0504
2014-10-15,2615.221,2466.018,5269.1483,5719.4108,2061.3316,1634.8147,1641.9448,1603.4209
2014-10-16,2600.616,2463.086,5189.3694,5631.5212,2030.2281,1610.6554,1621.6648,1585.6042
2014-10-17,2601.317,2454.77,5149.0714,5566.7488,2003.857,1595.1118,1595.4987,1561.0123
2014-10-20,2614.066,2463.264,5222.8483,5640.9261,2041.6966,1618.3881,1625.6295,1585.1889
2014-10-21,2592.251,2444.052,5185.3228,5573.814,2023.3351,1604.1471,1614.3124,1574.8934
2014-10-22,2579.157,2439.954,5122.9532,5504.2843,2000.6545,1581.9615,1594.424,1554.6573
2014-10-23,2560.623,2426.014,5042.1668,5416.96,1969.4681,1553.1711,1562.0438,1518.118
2014-10-24,2558.136,2419.672,5070.6128,5442.9649,1972.8145,1562.9252,1565.3693,1522.1507
2014-10-27,2531.948,2387.132,5102.9359,5472.5772,1993.0422,1575.9213,1581.6075,1539.4661
2014-10-28,2570.735,2431.219,5213.09,5619.53,2042.4876,1624.2798,1630.7733,1589.7294
2014-10-29,2599.846,2472.815,5271.0797,5713.5018,2070.963,1663.0861,1657.1843,1615.4018
2014-10-30,2613.177,2506.118,5277.2119,5736.5707,2064.5959,1668.3987,1657.0095,1613.6456
2014-10-31,2666.166,2565.535,5269.4614,5757.5538,2052.6993,1670.048,1651.3998,1611.8013
2014-11-03,2659.418,2569.448,5302.3694,5831.1794,2079.2174,1699.4624,1670.5164,1632.4366
2014-11-04,2638.644,2576.532,5263.3929,5810.2773,2064.3406,1683.2485,1653.2787,1619.3256
2014-11-05,2622.767,2558.851,5244.4572,5806.3653,2055.9318,1682.2112,1659.09,1621.9273
2014-11-06,2627.264,2559.76,5270.9078,5835.5569,2075.7124,1695.9353,1678.5498,1639.0542
2014-11-07,2624.679,2554.599,5227.3093,5779.9207,2055.1247,1679.5335,1659.8037,1620.4934
2014-11-10,2691.815,2629.857,5261.8118,5881.6018,2057.9807,1701.8424,1666.1114,1633.324
2014-11-11,2702.738,2647.026,5112.9066,5710.1545,1986.3405,1639.6082,1605.5486,1565.9914
2014-11-12,2725.5,2669.549,5180.8503,5826.2551,2014.1151,1672.6879,1629.4338,1592.9261
2014-11-13,2701.674,2664.784,5149.8667,5793.8632,1982.4055,1659.6176,1593.8601,1565.9362
2014-11-14,2702.378,2663.144,5150.0883,5762.3032,1978.8372,1650.9889,1591.4943,1561.2199
2014-11-17,2687.429,2635.539,5203.4135,5812.6899,2014.1305,1675.0595,1622.5232,1586.7307
2014-11-18,2654.293,2595.806,5205.0645,5828.1382,2027.9994,1686.7075,1626.9057,1594.4447
2014-11-19,2646.216,2585.408,5227.4062,5824.6941,2044.6124,1687.0488,1646.2644,1607.0022
2014-11-20,2641.571,2589.083,5212.0318,5834.8436,2041.2008,1691.3099,1646.0457,1608.4454
2014-11-21,2680.135,2629.878,5258.1629,5906.0661,2052.5048,1707.7853,1664.707,1624.4083
2014-11-24,2726.293,2689.748,5343.3814,6027.1858,2069.2126,1730.9407,1676.0173,1640.2841
