kind,rep,scheme,p_maxT,p_minP
stationary,319,full_group,0.46,0.812
stationary,320,restricted,0.002,0.028
stationary,320,full_group,0.002,0.03
stationary,321,restricted,1.0,0.998
stationary,321,full_group,0.996,1.0
stationary,322,restricted,0.172,0.448
stationary,322,full_group,0.172,0.462
stationary,323,restricted,0.274,0.48
stationary,323,full_group,0.272,0.484
stationary,324,restricted,0.668,0.768
stationary,324,full_group,0.724,0.758
stationary,325,restricted,0.27,0.528
stationary,325,full_group,0.252,0.574
stationary,326,restricted,0.994,0.986
stationary,326,full_group,0.994,0.99
stationary,327,restricted,0.382,0.164
stationary,327,full_group,0.39,0.202
stationary,328,restricted,0.274,0.138
stationary,328,full_group,0.288,0.082
stationary,329,restricted,0.518,0.69
stationary,329,full_group,0.466,0.644
stationary,330,restricted,0.246,0.538
stationary,330,full_group,0.234,0.294
stationary,331,restricted,0.094,0.366
stationary,331,full_group,0.106,0.342
stationary,332,restricted,0.808,0.798
stationary,332,full_group,0.816,0.742
stationary,333,restricted,0.27,0.548
stationary,333,full_group,0.246,0.472
stationary,334,restricted,0.006,0.03
stationary,334,full_group,0.006,0.024
stationary,335,restricted,0.844,0.812
stationary,335,full_group,0.874,0.832
stationary,336,restricted,0.482,0.782
stationary,336,full_group,0.51,0.768
stationary,337,restricted,0.738,0.698
stationary,337,full_group,0.756,0.688
stationary,338,restricted,0.042,0.11
stationary,338,full_group,0.044,0.166
stationary,339,restricted,0.004,0.016
stationary,339,full_group,0.002,0.018
stationary,340,restricted,0.698,0.646
stationary,340,full_group,0.696,0.594
stationary,341,restricted,0.118,0.216
stationary,341,full_group,0.146,0.344
stationary,342,restricted,0.71,0.4
stationary,342,full_group,0.69,0.354
stationary,343,restricted,0.294,0.116
stationary,343,full_group,0.326,0.212
stationary,344,restricted,0.922,0.976
stationary,344,full_group,0.916,0.978
stationary,345,restricted,0.874,0.696
stationary,345,full_group,0.852,0.676
stationary,346,restricted,0.76,0.054
stationary,346,full_group,0.744,0.05
stationary,347,restricted,0.21,0.258
stationary,347,full_group,0.256,0.44
stationary,348,restricted,0.786,0.952
stationary,348,full_group,0.798,0.952
stationary,349,restricted,0.166,0.334
stationary,349,full_group,0.134,0.332
stationary,350,restricted,0.286,0.208
stationary,350,full_group,0.262,0.19
stationary,351,restricted,0.202,0.024
stationary,351,full_group,0.212,0.042
stationary,352,restricted,0.216,0.26
stationary,352,full_group,0.21,0.262
stationary,353,restricted,0.814,0.458
stationary,353,full_group,0.79,0.546
stationary,354,restricted,0.406,0.186
stationary,354,full_group,0.422,0.312
stationary,355,restricted,0.008,0.046
stationary,355,full_group,0.01,0.022
stationary,356,restricted,0.26,0.274
stationary,356,full_group,0.282,0.3
stationary,357,restricted,0.734,0.182
