name,grid,family,lookback,z_window,smoothing,regime,sharpe_train,n_train,sharpe_val,n_val,sharpe_reused,n_reused,length,skip,score,old_three_window_score,rank_grid,rank_family
slope_L250s0_zw40_sm5,momentum174,slope,,40,5,old_sym,0.39676945168366207,1706,0.3182568897370435,727,0.1668398297217896,654,250.0,0.0,0.3182568897370435,0.1668398297217896,96,14
slope_L250s0_zw120_sm0,momentum174,slope,,120,0,old_sym,0.26153315656843384,1706,-0.3679278851763014,727,1.036300520416429,654,250.0,0.0,-0.3679278851763014,-0.3679278851763014,156,33
slope_L250s0_zw120_sm5,momentum174,slope,,120,5,old_sym,0.34080557379922916,1706,-0.40631871439721196,727,1.1138585914145767,654,250.0,0.0,-0.40631871439721196,-0.40631871439721196,157,34
slope_L250s0_zw250_sm0,momentum174,slope,,250,0,old_sym,0.23243589531160433,1706,-0.11534998507617042,727,0.7121505493853989,654,250.0,0.0,-0.11534998507617042,-0.11534998507617042,140,26
slope_L250s0_zw250_sm5,momentum174,slope,,250,5,old_sym,0.19199413459557124,1706,-0.16666025641880716,727,0.761935356711497,654,250.0,0.0,-0.16666025641880716,-0.16666025641880716,143,27
voladj_L5s0_zw40_sm0,momentum174,voladj,,40,0,old_sym,-0.09827928350015022,1706,0.2422485223090116,727,0.14073458499171015,654,5.0,0.0,-0.09827928350015022,-0.09827928350015022,137,34
voladj_L5s0_zw40_sm5,momentum174,voladj,,40,5,old_sym,0.015523757344000196,1706,0.5569888295945256,727,0.5584212664588081,654,5.0,0.0,0.015523757344000196,0.015523757344000196,129,32
voladj_L5s0_zw120_sm0,momentum174,voladj,,120,0,old_sym,0.4399030023541758,1706,0.29683234879405346,727,0.009042663857809049,654,5.0,0.0,0.29683234879405346,0.009042663857809049,100,24
voladj_L5s0_zw120_sm5,momentum174,voladj,,120,5,old_sym,0.7343817657387444,1706,1.2196534073069687,727,0.7137555926228235,654,5.0,0.0,0.7343817657387444,0.7137555926228235,47,10
voladj_L5s0_zw250_sm0,momentum174,voladj,,250,0,old_sym,0.5399651053263823,1706,0.3038179630330365,727,0.34158072754366925,654,5.0,0.0,0.3038179630330365,0.3038179630330365,99,23
voladj_L5s0_zw250_sm5,momentum174,voladj,,250,5,old_sym,0.8682983984140823,1706,0.9352605989438216,727,0.6242463251143663,654,5.0,0.0,0.8682983984140823,0.6242463251143663,31,7
voladj_L10s0_zw40_sm0,momentum174,voladj,,40,0,old_sym,0.6913487081925002,1706,0.7042642789772263,727,-0.14518238164121858,654,10.0,0.0,0.6913487081925002,-0.14518238164121858,55,13
voladj_L10s0_zw40_sm5,momentum174,voladj,,40,5,old_sym,0.615997627011964,1706,0.567573858879591,727,0.6051770561633201,654,10.0,0.0,0.567573858879591,0.567573858879591,71,18
voladj_L10s0_zw120_sm0,momentum174,voladj,,120,0,old_sym,0.7417663753426014,1706,0.9815102425684396,727,-0.16292337353557332,654,10.0,0.0,0.7417663753426014,-0.16292337353557332,46,9
voladj_L10s0_zw120_sm5,momentum174,voladj,,120,5,old_sym,0.6607664043114202,1706,1.6407979887052215,727,0.7623940344607767,654,10.0,0.0,0.6607664043114202,0.6607664043114202,58,15
voladj_L10s0_zw250_sm0,momentum174,voladj,,250,0,old_sym,0.6745166537248704,1706,1.4167213379729704,727,-0.19762731292435384,654,10.0,0.0,0.6745166537248704,-0.19762731292435384,57,14
voladj_L10s0_zw250_sm5,momentum174,voladj,,250,5,old_sym,0.7047338985866496,1706,1.11831524884562,727,0.46214488691820477,654,10.0,0.0,0.7047338985866496,0.46214488691820477,52,12
voladj_L20s0_zw40_sm0,momentum174,voladj,,40,0,old_sym,1.0919377981242464,1706,1.3460922010786915,727,0.8902855900788447,654,20.0,0.0,1.0919377981242464,0.8902855900788447,10,1
voladj_L20s0_zw40_sm5,momentum174,voladj,,40,5,old_sym,0.9980486695457825,1706,1.4186611039348098,727,0.9157974476465015,654,20.0,0.0,0.9980486695457825,0.9157974476465015,20,3
voladj_L20s0_zw120_sm0,momentum174,voladj,,120,0,old_sym,0.9796574095460663,1706,1.844463931291554,727,1.1312530863415982,654,20.0,0.0,0.9796574095460663,0.9796574095460663,22,4
