pit_policy,formation_date,scope,input_n,size_excluded_n,model_excluded_n,size_n,model_n,m_orthogonality_error,s_orthogonality_error,h_orthogonality_error,max_orthogonality_error,data_exempt_names,data_exempt_share,data_materiality_threshold,q500,q1000,qblend,unverified_first_disclosure_model_rows,unverified_first_disclosure_dependencies_json
legal_deadline,2019-04-30,exposure,3610,56,844,3554,2766,4.370111376189415e-16,5.603687881519041e-16,1.936756355607986e-16,5.603687881519041e-16,0,0.0,0.0025,-0.8995638705206791,-0.06832546872913685,-0.48394466962490795,0,[]
legal_deadline,2019-05-31,exposure,3622,61,857,3561,2765,4.469887271258713e-16,6.392686150594203e-16,1.2832121514382237e-16,6.392686150594203e-16,0,0.0,0.0025,-0.8748540525035443,-0.05563825422041618,-0.4652461533619803,0,[]
legal_deadline,2019-06-28,exposure,3631,66,867,3565,2764,5.508225938739852e-16,8.55421642640056e-16,3.687765067180012e-16,8.55421642640056e-16,0,0.0,0.0025,-0.942111492427602,-0.1069209540797943,-0.5245162232536982,0,[]
legal_deadline,2019-07-31,exposure,3665,86,904,3579,2761,5.913231280638431e-16,6.465209654787009e-16,1.7625918679675708e-16,6.465209654787009e-16,0,0.0,0.0025,-0.9254245356803024,-0.08865591070094558,-0.5070402231906239,0,[]
legal_deadline,2019-08-30,exposure,3680,95,919,3585,2761,4.164657826695136e-16,7.1964755037466e-16,2.164934898019055e-16,7.1964755037466e-16,0,0.0,0.0025,-0.919135301787691,-0.08812551858650101,-0.503630410187096,0,[]
legal_deadline,2019-09-30,exposure,3691,95,930,3596,2761,6.655624931987899e-16,4.2946852488626196e-16,1.986333802753269e-16,6.655624931987899e-16,0,0.0,0.0025,-0.8986648813721648,-0.08635327335787418,-0.4925090773650195,0,[]
legal_deadline,2019-10-31,exposure,3706,102,887,3604,2819,5.567178333757356e-16,5.430344851347315e-16,2.298551811775604e-16,5.567178333757356e-16,0,0.0,0.0025,-0.8919055545870787,-0.06257828998403786,-0.4772419222855583,0,[]
legal_deadline,2019-11-29,exposure,3735,121,919,3614,2816,4.238966768361722e-16,5.354271568717656e-16,2.0419030544215123e-16,5.354271568717656e-16,1,0.00027662517289073305,0.0025,-0.8893370151527646,-0.04476554788913491,-0.46705128152094977,0,[]
legal_deadline,2019-12-31,exposure,3760,137,945,3623,2815,5.170224363949776e-16,1.6512782792783177e-15,4.759721840005033e-16,1.6512782792783177e-15,0,0.0,0.0025,-0.9631458964994245,-0.11521329203281949,-0.5391795942661219,0,[]
legal_deadline,2020-01-23,exposure,3775,118,961,3657,2814,6.386152196810858e-16,2.326096296571147e-15,3.778077870559181e-16,2.326096296571147e-15,0,0.0,0.0025,-0.9247123890663215,-0.1128456829504559,-0.5187790360083887,0,[]
legal_deadline,2020-02-28,exposure,3796,123,983,3673,2813,5.978137685815193e-16,2.344832946739313e-15,2.629647374980594e-16,2.344832946739313e-15,0,0.0,0.0025,-0.9275964432037782,-0.11191293326137677,-0.5197546882325775,0,[]
legal_deadline,2020-03-31,exposure,3809,125,996,3684,2813,5.442610384026409e-16,2.2276247886551452e-15,4.588630945403166e-16,2.2276247886551452e-15,0,0.0,0.0025,-0.9099718414370139,-0.10468931825094757,-0.5073305798439808,0,[]
legal_deadline,2020-04-30,exposure,3833,131,975,3702,2858,4.093082641792036e-16,3.1149743642452804e-15,7.529117817693768e-16,3.1149743642452804e-15,0,0.0,0.0025,-0.8971698438990175,-0.10185000381517481,-0.4995099238570962,0,[]
legal_deadline,2020-05-29,exposure,3851,121,994,3730,2857,4.833023531674679e-16,3.3764927993353256e-15,1.1344661617755795e-15,3.3764927993353256e-15,1,0.0002680246582685607,0.0025,-0.8850849593100121,-0.07675303917533227,-0.4809189992426722,0,[]
legal_deadline,2020-06-30,exposure,3876,120,1020,3756,2856,5.378724041371137e-16,3.508899988658891e-15,8.608287308818341e-16,3.508899988658891e-15,1,0.00026616981634282674,0.0025,-0.9390272118757453,-0.10007290318236288,-0.5195500575290541,0,[]
legal_deadline,2020-07-31,exposure,3922,154,1069,3768,2853,5.809451049431324e-16,2.718558836607516e-15,7.337357154153249e-16,2.718558836607516e-15,1,0.0002653223666755107,0.0025,-0.9390902957815783,-0.10056496099604031,-0.5198276283888094,0,[]
legal_deadline,2020-08-31,exposure,3975,190,1065,3785,2910,1.008534296801196e-15,2.5717956573500577e-15,6.672909680655407e-16,2.5717956573500577e-15,1,0.0002641310089804543,0.0025,-0.8936993584421085,-0.09452278183667956,-0.49411107013939404,0,[]
legal_deadline,2020-09-30,exposure,4041,244,1132,3797,2909,7.881179197627729e-16,2.586494354145216e-15,7.899187060272967e-16,2.586494354145216e-15,1,0.0002632964718272775,0.0025,-0.9092854289696214,-0.07753325938349502,-0.4934093441765582,0,[]
legal_deadline,2020-10-30,exposure,4067,247,936,3820,3131,7.622528714001494e-16,5.331441331385269e-16,5.302113026229022e-16,7.622528714001494e-16,1,0.00026171159382360636,0.0025,-0.9143045986849441,-0.06011103451126546,-0.48720781659810475,0,[]
legal_deadline,2020-11-30,exposure,4087,246,932,3841,3155,3.7712401006848444e-16,4.970719829429446e-16,4.542973479965844e-16,4.970719829429446e-16,1,0.0002602811035918792,0.0025,-0.9091421005279927,-0.06420104578537666,-0.4866715731566847,0,[]
legal_deadline,2020-12-31,exposure,4140,273,986,3867,3154,4.835984725555945e-16,1.429833763639334e-15,9.79376568567209e-16,1.429833763639334e-15,1,0.0002585315408479835,0.0025,-0.944464783207712,-0.1270376509248658,-0.5357512170662889,0,[]
legal_deadline,2021-01-29,exposure,4173,261,1019,3912,3154,1.040234356939531e-15,6.212040167509849e-16,3.9730142145677495e-16,1.040234356939531e-15,1,0.0002555583950932788,0.0025,-0.9504464829606284,-0.10963046629172313,-0.5300384746261757,0,[]
legal_deadline,2021-02-26,exposure,4200,231,1047,3969,3153,8.913066049502916e-16,1.782077821556942e-15,5.052712337642091e-16,1.782077821556942e-15,1,0.00025188916876574307,0.0025,-0.9564701741834807,-0.11098814967146725,-0.533729161927474,0,[]
legal_deadline,2021-03-31,exposure,4234,201,1085,4033,3149,3.6478756523397994e-16,7.740672525568532e-16,2.1005315671771344e-16,7.740672525568532e-16,0,0.0,0.0025,-0.9535541106500988,-0.09906944792184738,-0.5263117792859731,0,[]
legal_deadline,2021-04-30,exposure,4288,230,1012,4058,3276,6.904305323700541e-16,5.34714564707716e-16,6.295543729970746e-16,6.904305323700541e-16,0,0.0,0.0025,-0.9241012644676776,-0.11063331660388875,-0.5173672905357831,0,[]
legal_deadline,2021-05-31,exposure,4326,246,1054,4080,3272,1.4432961559800182e-15,6.174059362094035e-16,2.0039342987589873e-16,1.4432961559800182e-15,1,0.0002450379808870375,0.0025,-0.9251481022003751,-0.09893053693966475,-0.5120393195700199,0,[]
legal_deadline,2021-06-30,exposure,4373,245,1102,4128,3271,1.154795882777318e-15,2.0143849211123918e-15,2.996840155233881e-16,2.0143849211123918e-15,0,0.0,0.0025,-0.9685830110733088,-0.20434441812239795,-0.5864637145978534,0,[]
legal_deadline,2021-07-30,exposure,4416,260,1149,4156,3267,7.132133265566318e-16,1.048392555403223e-15,2.566185905589915e-16,1.048392555403223e-15,0,0.0,0.0025,-0.9600421181130825,-0.18579668497756885,-0.5729194015453256,0,[]
legal_deadline,2021-08-31,exposure,4455,266,1112,4189,3343,2.869238991007218e-15,1.5980580274987326e-15,5.790579568885793e-16,2.869238991007218e-15,0,0.0,0.0025,-0.9889323105826499,-0.20530113093278413,-0.597116720757717,0,[]
legal_deadline,2021-09-30,exposure,4494,270,1152,4224,3342,4.805211830155636e-16,6.779844209908305e-16,1.8969808537540811e-16,6.779844209908305e-16,0,0.0,0.0025,-0.9725316273202649,-0.19052793379054755,-0.5815297805554063,0,[]
legal_deadline,2021-10-29,exposure,4525,250,1088,4275,3437,5.732000023757271e-16,1.2380454773001428e-15,3.978082127362075e-16,1.2380454773001428e-15,0,0.0,0.0025,-0.9939554991431804,-0.1843027049465622,-0.5891291020448712,0,[]
legal_deadline,2021-11-30,exposure,4558,236,1099,4322,3459,5.2399831063375985e-16,8.215798776115067e-16,3.7086443343323085e-16,8.215798776115067e-16,0,0.0,0.0025,-0.9743602775339826,-0.20278512406168672,-0.5885727007978346,0,[]
legal_deadline,2021-12-31,exposure,4603,236,1144,4367,3459,4.009155179524257e-16,8.360169071020714e-16,2.0147037115484386e-16,8.360169071020714e-16,0,0.0,0.0025,-1.0479339175441347,-0.3050250316245336,-0.6764794745843341,0,[]
legal_deadline,2022-01-28,exposure,4632,220,1174,4412,3458,7.345105913453632e-16,1.0158616614514066e-15,1.673165561890915e-16,1.0158616614514066e-15,0,0.0,0.0025,-1.055327730073293,-0.29711154354566804,-0.6762196368094806,0,[]
legal_deadline,2022-02-28,exposure,4647,193,1189,4454,3458,3.483608637575259e-16,1.3604359832477445e-15,2.5841707169983255e-16,1.3604359832477445e-15,0,0.0,0.0025,-1.060592836227605,-0.30985568655294515,-0.685224261390275,0,[]
legal_deadline,2022-03-31,exposure,4681,189,1223,4492,3458,5.360866500416869e-16,4.896239449166857e-16,1.6407433123798888e-16,5.360866500416869e-16,0,0.0,0.0025,-1.0566854276329907,-0.294601966608133,-0.6756436971205618,0,[]
legal_deadline,2022-04-29,exposure,4714,192,1236,4522,3478,3.51440077054796e-16,3.5115180821987385e-16,1.8493099382064747e-16,3.51440077054796e-16,0,0.0,0.0025,-1.0576748855962304,-0.2802786292519876,-0.668976757424109,0,[]
legal_deadline,2022-05-31,exposure,4724,170,1245,4554,3479,7.60718521207631e-16,4.801421773314908e-16,2.1756192086156662e-16,7.60718521207631e-16,0,0.0,0.0025,-1.054237155708968,-0.2582847945727159,-0.6562609751408419,0,[]
legal_deadline,2022-06-30,exposure,4723,154,1271,4569,3452,4.968983404875964e-16,5.280380550403907e-16,1.4722409286486122e-16,5.280380550403907e-16,2,0.0004375410194705754,0.0025,-1.1004735862918513,-0.3815046966889792,-0.7409891414904153,0,[]
legal_deadline,2022-07-29,exposure,4740,150,1296,4590,3444,4.67818764985234e-16,6.319009568010266e-16,4.2723826614978645e-16,6.319009568010266e-16,0,0.0,0.0025,-1.0827251179873971,-0.39106182283545743,-0.7368934704114273,0,[]
