ts_code,list_date,first_eff
605366.SH,2020-08-12,2025-04-01
605369.SH,2020-09-16,2025-04-01
605377.SH,2020-12-28,2025-04-01
605378.SH,2021-04-12,2025-04-01
605488.SH,2021-05-13,2025-04-01
605499.SH,2021-05-27,2025-04-01
605555.SH,2021-10-21,2025-04-01
688008.SH,2019-07-22,2025-04-01
688018.SH,2019-07-22,2025-04-01
688019.SH,2019-07-22,2025-04-01
688049.SH,2021-11-29,2025-04-01
688052.SH,2022-04-22,2025-04-01
688059.SH,2021-02-08,2025-04-01
688062.SH,2022-01-18,2025-04-01
688076.SH,2021-05-20,2025-04-01
688082.SH,2021-11-18,2025-04-01
688083.SH,2021-03-11,2025-04-01
688085.SH,2020-04-09,2025-04-01
688090.SH,2020-02-17,2025-04-01
688093.SH,2020-09-30,2025-04-01
688096.SH,2020-04-09,2025-04-01
688102.SH,2022-03-16,2025-04-01
688106.SH,2020-06-16,2025-04-01
688116.SH,2019-09-25,2025-04-01
688117.SH,2021-06-03,2025-04-01
688120.SH,2022-06-08,2025-04-01
688126.SH,2020-04-20,2025-04-01
688130.SH,2022-07-29,2025-04-01
688135.SH,2020-11-11,2025-04-01
688138.SH,2019-11-20,2025-04-01
688152.SH,2022-10-28,2025-04-01
688157.SH,2020-06-09,2025-04-01
688160.SH,2020-11-12,2025-04-01
688169.SH,2020-02-21,2025-04-01
688172.SH,2022-12-16,2025-04-01
688179.SH,2020-10-26,2025-04-01
688186.SH,2020-02-11,2025-04-01
688188.SH,2019-08-08,2025-04-01
688191.SH,2021-04-08,2025-04-01
688192.SH,2021-12-10,2025-04-01
688196.SH,2019-11-21,2025-04-01
688205.SH,2022-08-09,2025-04-01
688208.SH,2020-02-13,2025-04-01
688215.SH,2020-08-28,2025-04-01
688216.SH,2021-06-23,2025-04-01
688219.SH,2020-11-18,2025-04-01
688234.SH,2022-01-12,2025-04-01
688235.SH,2021-12-15,2025-04-01
688239.SH,2021-07-05,2025-04-01
688244.SH,2022-10-19,2025-04-01
688251.SH,2022-06-06,2025-04-01
688256.SH,2020-07-20,2025-04-01
688257.SH,2021-10-27,2025-04-01
688279.SH,2022-04-20,2025-04-01
688281.SH,2022-03-07,2025-04-01
688293.SH,2022-09-02,2025-04-01
688300.SH,2019-11-15,2025-04-01
688301.SH,2020-09-18,2025-04-01
688305.SH,2021-07-09,2025-04-01
688318.SH,2020-04-27,2025-04-01
688321.SH,2019-08-12,2025-04-01
688347.SH,2023-08-07,2025-04-01
688350.SH,2021-01-28,2025-04-01
688360.SH,2020-06-02,2025-04-01
688361.SH,2023-05-19,2025-04-01
688368.SH,2019-10-14,2025-04-01
688372.SH,2022-10-26,2025-04-01
688378.SH,2020-09-03,2025-04-01
688379.SH,2020-08-19,2025-04-01
688386.SH,2020-10-16,2025-04-01
688388.SH,2019-07-22,2025-04-01
688396.SH,2020-02-27,2025-04-01
688399.SH,2019-12-05,2025-04-01
688403.SH,2022-08-18,2025-04-01
688419.SH,2022-11-07,2025-04-01
688428.SH,2022-09-21,2025-04-01
688455.SH,2022-09-15,2025-04-01
688469.SH,2023-05-10,2025-04-01
688486.SH,2023-02-21,2025-04-01
688511.SH,2021-07-30,2025-04-01
688520.SH,2020-06-22,2025-04-01
688522.SH,2023-03-01,2025-04-01
688525.SH,2022-12-30,2025-04-01
688531.SH,2023-03-31,2025-04-01
688535.SH,2023-04-04,2025-04-01
688543.SH,2023-06-21,2025-04-01
688556.SH,2020-08-07,2025-04-01
688577.SH,2020-09-16,2025-04-01
688589.SH,2020-07-22,2025-04-01
688590.SH,2020-12-07,2025-04-01
688592.SH,2023-08-16,2025-04-01
688597.SH,2021-06-17,2025-04-01
688599.SH,2020-06-10,2025-04-01
