ts_code,formation_date,required_formation,list_date,delist_date,raw_close,close_source,selected_share_effective_date,selected_share_known_date,selected_total_shares,reason_code
002027.SZ,2013-09-30,False,2004-08-04,,7.71,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002127.SZ,2013-09-30,False,2007-04-18,,4.93,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002270.SZ,2013-09-30,False,2008-09-05,,6.27,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002323.SZ,2013-09-30,False,2009-12-18,,13.27,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002343.SZ,2013-09-30,False,2010-01-26,,8.15,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002366.SZ,2013-09-30,False,2010-03-12,,9.25,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002468.SZ,2013-09-30,False,2010-09-08,,7.4,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002517.SZ,2013-09-30,False,2010-12-07,,12.85,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002558.SZ,2013-09-30,False,2011-03-02,,24.4,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002581.SZ,2013-09-30,False,2011-05-20,,14.35,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002600.SZ,2013-09-30,False,2011-07-15,,9.62,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002607.SZ,2013-09-30,False,2011-08-10,,6.68,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002694.SZ,2013-09-30,False,2012-08-16,,11.62,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600097.SH,2013-09-30,False,1997-06-19,,10.95,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600179.SH,2013-09-30,False,1998-11-04,,5.32,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600217.SH,2013-09-30,False,1999-12-16,,4.74,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600233.SH,2013-09-30,False,2000-06-08,,10.03,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600398.SH,2013-09-30,False,2000-12-28,,5.53,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600483.SH,2013-09-30,False,2004-05-31,,,SUSPENDED_CARRY_FORWARD,,,,DATA_MISSING_SHARES
600566.SH,2013-09-30,False,2001-08-22,,16.11,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600567.SH,2013-09-30,False,2001-12-18,,2.16,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600603.SH,2013-09-30,False,1992-01-13,,5.42,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600629.SH,2013-09-30,False,1993-02-09,,9.15,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600666.SH,2013-09-30,False,1993-07-12,,7.48,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600681.SH,2013-09-30,False,1993-10-18,,5.23,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600862.SH,2013-09-30,False,1994-05-20,,3.64,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
601360.SH,2013-09-30,False,2012-01-16,,8.51,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
603993.SH,2013-09-30,False,2012-10-09,,7.12,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000035.SZ,2013-10-31,False,1994-04-08,,11.41,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000156.SZ,2013-10-31,False,2000-09-06,,23.78,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000301.SZ,2013-10-31,False,2000-05-29,,3.41,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000498.SZ,2013-10-31,False,1997-06-09,,4.15,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000547.SZ,2013-10-31,False,1993-11-30,,3.83,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000603.SZ,2013-10-31,False,1996-08-23,,13.3,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000620.SZ,2013-10-31,False,1996-10-29,,5.17,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000670.SZ,2013-10-31,False,1996-12-17,,15.73,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000681.SZ,2013-10-31,False,1997-01-21,,12.96,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000813.SZ,2013-10-31,False,1998-05-19,,7.65,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000820.SZ,2013-10-31,False,1998-06-30,,10.42,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000863.SZ,2013-10-31,False,1997-09-25,,6.55,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000908.SZ,2013-10-31,False,1999-02-03,,9.52,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002019.SZ,2013-10-31,False,2004-07-13,,15.4,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002027.SZ,2013-10-31,False,2004-08-04,,6.7,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
