date,symbol,open,close,oi,settle,volume
2017-05-22,IC1706.CFE,5918.8000,5828.6000,27115,5828.8000,13770
2017-05-22,IC1707.CFE,5865.0000,5779.0000,283,5782.0000,295
2017-05-22,IC1709.CFE,5813.4000,5702.0000,6203,5706.4000,1230
2017-05-22,IC1712.CFE,5714.8000,5608.2000,1778,5615.4000,205
2017-05-23,IC1706.CFE,5828.6000,5716.0000,27249,5738.0000,14652
2017-05-23,IC1707.CFE,5779.0000,5678.6000,523,5697.4000,561
2017-05-23,IC1709.CFE,5689.6000,5593.2000,6415,5616.2000,1099
2017-05-23,IC1712.CFE,5600.0000,5511.2000,1805,5527.2000,260
2017-05-24,IC1706.CFE,5700.0000,5759.0000,28221,5745.6000,17961
2017-05-24,IC1707.CFE,5652.6000,5719.2000,798,5701.8000,722
2017-05-24,IC1709.CFE,5586.4000,5639.6000,6576,5611.2000,1345
2017-05-24,IC1712.CFE,5486.8000,5558.8000,1841,5541.2000,305
2017-05-25,IC1706.CFE,5757.2000,5810.6000,28059,5817.4000,18142
2017-05-25,IC1707.CFE,5714.8000,5773.4000,1143,5782.0000,892
2017-05-25,IC1709.CFE,5639.6000,5702.0000,6610,5704.0000,1076
2017-05-25,IC1712.CFE,5549.4000,5618.2000,1893,5625.6000,345
2017-05-26,IC1706.CFE,5814.0000,5814.6000,26709,5815.0000,13410
2017-05-26,IC1707.CFE,5774.4000,5773.0000,1374,5774.0000,778
2017-05-26,IC1709.CFE,5700.2000,5698.6000,6721,5703.0000,769
2017-05-26,IC1712.CFE,5618.8000,5620.0000,1946,5626.6000,264
2017-05-31,IC1706.CFE,5891.0000,5772.6000,26325,5786.8000,14585
2017-05-31,IC1707.CFE,5873.0000,5729.8000,1670,5747.2000,913
2017-05-31,IC1709.CFE,5782.6000,5664.2000,6824,5678.0000,879
2017-05-31,IC1712.CFE,5715.8000,5589.4000,1973,5602.8000,201
2017-06-01,IC1706.CFE,5748.0000,5667.0000,26160,5694.6000,13960
2017-06-01,IC1707.CFE,5714.2000,5623.0000,2091,5650.4000,1219
2017-06-01,IC1709.CFE,5664.2000,5554.8000,6811,5590.2000,1168
2017-06-01,IC1712.CFE,5578.6000,5482.6000,2063,5508.2000,319
2017-06-02,IC1706.CFE,5662.8000,5753.2000,26523,5756.0000,16216
2017-06-02,IC1707.CFE,5623.0000,5712.0000,2685,5713.2000,1569
